978-2-08-128917-8;Un amour impossible;;Angot;Christine;;;Flammarion;DL 2015;1 vol. (216 p.);21 cm;Adulte;28,7477730345081
978-2-08-134387-0;exercice de la médecine (L');roman;Seksik;Laurent;;;Flammarion;DL 2015;1 vol. (339 p.);21 cm;Adulte;33,7695756809464
978-2-08-134792-2;carnaval des hyènes (Le);;Mention;Michaël;;;Ombres noires;DL 2015;1 vol. (220 p.);21 cm;Adulte;53,5261967810711
978-2-08-134821-9;Il était une ville;roman;Reverdy;Thomas B.;;;Flammarion;DL 2015;1 vol. (269 p.);21 cm;Adulte;26,6888063023533
978-2-08-137054-8;renversement des pôles (Le);roman;Côte;Nathalie;;;Flammarion;DL 2015;1 vol. (189 p.);21 cm;Adulte;29,958995878179
978-2-08-137244-3;Vladimir Vladimirovitch;roman;Chambaz;Bernard;;;Flammarion;DL 2015;1 vol. (373 p.);21 cm;Adulte;32,5836411153417
978-2-09-252554-8;Toutes mes histoires préférées;;Caputo;Natha;Bryant;Sara Cone;Nathan;DL 2009;1 vol. (121 p.);22 cm;Jeunesse;54,0366112446699
978-2-203-02864-7;Ernest et Célestine au musée;;Vincent;Gabrielle;;;Casterman;2010;1 vol. (32 p.);29 x 25 cm;Jeunesse;36,2145465984607
978-2-203-04011-3;Ernest et Célestine au cirque;;Vincent;Gabrielle;;;Casterman;2011;1 vol. (26 p.);25 x 29 cm;Jeunesse;5,42077263154384
978-2-203-04013-7;jour, un chien (Un);;Vincent;Gabrielle;;;Casterman;2011;1 vol. (64 p.);20 x 27 cm;Jeunesse;12,2289514881063
978-2-211-08134-4;En 2000 trop loin;;Rascal;;;;Pastel;DL 2009;1 vol. (28 p.);27 cm;Jeunesse;36,0345137974892
978-2-211-09368-2;Voleuse de peluche;;Seyvos;Florence;;;Ecole des loisirs;2008;1 vol. (75 p.);19 x 13 cm;Jeunesse;14,8169653918482
978-2-211-09722-2;10 feuilles volantes;;Möller;Anne;;;Archimède-l'Ecole des loisirs;impr. 2009;1 vol. (29 p.);29 cm;Jeunesse;73,8468027708018
978-2-211-20466-8;erreur de Pascal (L');;Seyvos;Florence;;;Ecole des loisirs;2011;1 vol. (76 p.);19 x 13 cm;Jeunesse;14,2594614414623
978-2-211-20802-4;Ogres, brigands et compagnie;;Ungerer;Tomi;Ungerer;Tomi;l'Ecole des loisirs;DL 2011;1 vol. (148 p.);29 cm;Jeunesse;77,473701097379
978-2-213-63700-6;Le fol enfant;récit;Vlady;Marina;;;Fayard;impr. 2009;1 vol. (155 p.);19 cm;Adulte;48,1668029406904
978-2-213-68661-5;uns contre les autres (Les);roman;Maubert;Franck;;;Fayard;DL 2015;1 vol. (213 p.);22 cm;Adulte;53,9480119586849
978-2-213-68702-5;Effraction;roman;Defossé;Alain;;;Fayard;DL 2015;1 vol. (196 p.);22 cm;Adulte;74,8402397387182
978-2-220-06105-4;La confusion des valeurs;;Guillebaud;Jean-Claude;;;Desclée de Brouwer;impr. 2009;1 vol. (274 p.);21 cm;Adulte;75,6488309388356
978-2-226-17383-6;Shrek !;le livre qui inspira le film;Steig;William;;;Albin Michel-Jeunesse;2007;1 vol. (32 p.);30 x 23 cm;Jeunesse;28,6564044532764
978-2-226-18772-7;Je viens de toutes mes enfances;;Salomé;Jacques;;;Albin Michel;impr. 2009;1 vol. (308 p.);23 cm;Adulte;37,6173579117767
978-2-226-19001-7;Tout pour plaire et toujours célibataire;rencontrer l'amour;Cadalen;Sophie;Guillou;Sophie;Albin Michel;impr. 2009;1 vol. (201p.);23 cm;Adulte;25,2642721014046
978-2-226-19245-5;Sauver sa peau;roman;Gardner;Lisa;;;Albin Michel;impr. 2009;1 vol. (418 p.);23 cm;Adulte;13,2234476738071
978-2-226-19402-2;Le miroir de Cassandre;roman;Werber;Bernard;;;Albin Michel;impr. 2009;1 vol. (632 p.);24 cm;Adulte;67,3751252918601
978-2-226-20937-5;étang aux libellules (L');;Ibbotson;Eva;;;Albin Michel-Jeunesse;2011;1 vol. (456 p.);22 x 15 cm;Jeunesse;35,5280517127154
978-2-234-06230-6;Dis oui, Ninon;roman;Lethielleux;Maud;;;Stock;impr. 2009;1 vol. (247 p.);22 cm;Adulte;27,0293955559217
978-2-246-77601-7;septième fonction du langage (La);roman;Binet;Laurent;;;Bernard Grasset;DL 2015;1 vol. (494 p.);21 cm;Adulte;64,6125211964418
978-2-246-85569-9;amour à trois (L');roman;Poivre d'Arvor;Olivier;;;Bernard Grasset;DL 2015;1 vol. (251 p.);21 cm;Adulte;77,1911698409335
978-2-246-85612-2;Je me suis tue;roman;Menegaux;Mathieu;;;Bernard Grasset;DL 2015;1 vol. (190 p.);21 cm;Adulte;23,352512500582
978-2-246-85713-6;Profession du père;roman;Chalandon;Sorj;;;Bernard Grasset;DL 2015;1 vol. (315 p.);21 cm;Adulte;54,1127424235969
978-2-246-85813-3;Histoire de l'amour et de la haine;roman;Dantzig;Charles;;;Bernard Grasset;DL 2015;1 vol. (475 p.);21 cm;Adulte;51,5670036949698
978-2-260-01916-9;hiver des hommes (L');roman;Duroy;Lionel;;;Julliard;2012;1 vol. (358 p.);21 x 13 cm;Adulte;37,4472171953489
978-2-260-02096-7;anges meurent de nos blessures (Les);roman;Khadra;Yasmina;;;Julliard;2013;1 vol. (403 p.);23 x 14 cm;Adulte;44,765950807493
978-2-266-16966-0;maison de l'ancêtre (La);;Williams;Tad;;;Pocket;2007;444 p.;18 x 11 cm;Adulte;41,148124985527
