2-903181-06-3,Le Livre conquérant,du Moyen âge au milieu du XVIIe siècle,,,,,PROMODIS,1983,Adulte
,Art et Métiers du Livre,,,,,,,,Adulte
,Meurtre au champagne,,Christie,Agatha,,,L.O.Four,19,Adulte
,ESPRIT,,,,,,,2009,Adulte
978-2-84596-110-4,Père Noël mes fesses !,,Lenain,Thierry,Roberts,Bruce,les 400 coups,DL 2009,Jeunesse
,Archeologia,,,,,,,2009,Adulte
978-2-918689-00-3,"Bonne nuit, Monsieur Renard !",,Schärer,Kathrin,,,Ane bâté éd.,impr. 2009,Jeunesse
978-2-918689-01-0,Chamailles,,Schärer,Kathrin,,,Ane bâté éd.,impr. 2009,Jeunesse
,Revue de la Bibliothèque Nationale de France,,,,,,,2009,Adulte
978-2-87767-644-1,Le trésor,,Shulevitz,Uri,,,Kaléidoscope,DL 2009,Jeunesse
978-2-35965-008-2,La neige fond sur ton coeur,,Schmitzberger,Simone,,,les Petites vagues éd.,DL 2009,Jeunesse
978-2-87767-631-1,Où est Pachydou ?,,Dunbar,Polly,,,Kaléidoscope,DL 2009,Jeunesse
978-2-87767-632-8,Poulette coquette,,Dunbar,Polly,,,Kaléidoscope,DL 2009,Jeunesse
978-2-84801-431-9,voyage (Le),,Fontanel,Béatrice,Zuber,Eléonore,Tourbillon,2009,Jeunesse
978-2-7234-7187-9,Le vrai-faux portrait officiel du Père Noël,,Misslin,Sylvie,,,Glénat,impr. 2009,Jeunesse
978-2-07-062795-0,Paddy MacPat,,Donaldson,Julia,,,Gallimard jeunesse,DL 2009,Jeunesse
978-2-211-09722-2,10 feuilles volantes,,Möller,Anne,,,Archimède-l'Ecole des loisirs,impr. 2009,Jeunesse
978-2-211-09708-6,Et toi ?,,Sanders,Alex,,,Loulou & Cie-l'Ecole des loisirs,DL 2009,Jeunesse
2-09-211356-9,Méchants et truands,"escrocs, espions, criminels",Platt,Richard,,,Nathan,2004,Jeunesse
978-2-7459-4779-6,25 chasses au trésor,des scénarios originaux pour des fêtes inoubliables !,Rocher,Mathieu,,,Milan,DL 2011,Jeunesse
978-2-7459-4779-6,25 chasses au trésor,des scénarios originaux pour des fêtes inoubliables !,Rocher,Mathieu,,,Milan,DL 2011,Jeunesse
978-2-7459-4779-6,25 chasses au trésor,des scénarios originaux pour des fêtes inoubliables !,Rocher,Mathieu,,,Milan,DL 2011,Jeunesse
978-2-8063-0074-4,Je crée avec 3 x rien !,,Bull,Jane,,,Langue au chat,cop. 2011,Jeunesse
978-2-8063-0074-4,Je crée avec 3 x rien !,,Bull,Jane,,,Langue au chat,cop. 2011,Jeunesse
978-2-7324-4821-3,Le rugby raconté aux enfants,,Escot,Richard,,,La Martinière jeunesse,impr. 2011,Jeunesse
978-2-211-09573-0,"Attention, bêtes féroces !",,Wormell,Christopher,,,Pastel-l'Ecole des loisirs,DL 2009,Jeunesse
978-2-7324-4821-3,Le rugby raconté aux enfants,,Escot,Richard,,,La Martinière jeunesse,impr. 2011,Jeunesse
978-2-211-09575-4,Inuk est amoureux,,Norac,Carl,,,Pastel,DL 2009,Jeunesse
978-2-916170-71-8,petits points (Les),,Claudet,Philippe,,,les Doigts qui rêvent,2010,Jeunesse
978-2-211-09726-0,Le jour où nous étions seuls au monde,,Nilsson,Ulf,,,Pastel,DL 2009,Jeunesse
978-2-7404-2716-3,grandes merveilles du monde (Les),,Yu,Soon-Hye,,,Mango-Jeunesse,2011,Jeunesse
