2-940349-00-2;légistes enquêtent (Les);;Pfeiffer;Hans;;;Scènes de crimes;2004;302 p.;21 x 14 cm;Adulte;36,0254203768523;https://products-images.di-static.com/image/hans-pfeiffer-les-legistes-enquetent/9782940349005-475x500-1.webp;
978-1-4454-3923-5;Nous les garçons !;de l'enfance à l'adolescence;Crossick;Matt;;;Parragon;2011;1 vol. (96 p.);20 x 17 cm;Jeunesse;52,9849376751647;https://images-na.ssl-images-amazon.com/images/I/61aEfB+MpYL.jpg;
978-1-4454-3924-2;Nous les filles !;de l'enfance à l'adolescence;Delmege;Sarah;;;Parragon;2011;1 vol. (96 p.);20 x 17 cm;Jeunesse;40,7160882682096;https://images-na.ssl-images-amazon.com/images/I/61p3JS5chsL.jpg;
978-2-01-201748-1;La boussole du Club des cinq;;Blyton;Enid;;;Hachette jeunesse;DL 2009;1 vol. (189 p.);18 cm;Jeunesse;27,5546889197212;https://images2.medimops.eu/product/a33679/M02012017487-large.jpg;
978-2-01-292114-6;Dis pourquoi le cochon a la queue en tire-bouchon ?;;Mathivet;Eric;;;Hachette jeunesse;DL 2011;1 vol. (192 p.);24 cm;Jeunesse;16,917879879888;https://products-images.di-static.com/image/eric-mathivet-dis-pourquoi-le-cochon-a-la-queue-en-tire-bouchon/9782012921146-475x500-1.jpg;
978-2-01-292152-8;ABC d'Albert Jacquard pour changer le monde (L');;Jacquard;Albert;;;Hachette jeunesse;impr. 2013;1 vol. (62 p.);23 cm;Jeunesse;69,0923811022252;https://images-na.ssl-images-amazon.com/images/I/411O29z-LEL._SX357_BO1,204,203,200_.jpg;
978-2-01-322396-6;Emile et les détectives;;Kästner;Erich;;;Le livre de poche jeunesse;2007;1 vol. (221 p.);18 x 13 cm;Jeunesse;64,3323253200974;https://images2.medimops.eu/product/a0c034/M02012202284-large.jpg;
978-2-01-322840-4;Jeanne;;Cassabois;Jacques;;;le Livre de poche jeunesse;DL 2010;1 vol. (283 p.);18 cm;Jeunesse;36,7644791127872;https://static.fnac-static.com/multimedia/Images/FR/NR/10/b1/2c/2928912/1540-1/tsp20160830114625/Jeanne.jpg;
978-2-02-081845-2;Une histoire de la violence;de la fin du Moyen âge à nos jours;Muchembled;Robert;;;Ed. du Seuil;DL 2008;1 vol. (498 p.);24 cm;Adulte;26,8875534403828;https://fr.shopping.rakuten.com/photo/une-histoire-de-la-violence-de-la-fin-du-moyen-age-a-nos-jours-format-poche-1944276308_L.jpg;
978-2-02-099246-6;Au pays des vermeilles;;Châtelet;Noëlle;;;Seuil;DL 2009;1 vol. (171 p.);21 cm;Adulte;53,8834487758271;https://images2.medimops.eu/product/adb1cb/M02757820168-large.jpg;
978-2-02-100538-7;Déchets;le cauchemar du nucléaire;Noualhat;Laure;;;Seuil;DL 2009;1 vol. (209 p.);21 cm;Adulte;52,2774262679341;https://products-images.di-static.com/image/laure-noualhat-dechets/9782021005387-475x500-1.jpg;
978-2-03-584660-0;La fin des dinosaures;;Bacchin;Matteo;Signore;Marco;Larousse;impr. 2010;1 vol. (239 p.);32 cm;Jeunesse;56,2405068413637;https://images-na.ssl-images-amazon.com/images/I/51-7-XrvmpL.jpg;
978-2-07-012620-0;Les arrangeurs;roman;Tellier-Loniewski;Laurence;;;Gallimard;impr. 2009;1 vol. (270 p.);21 cm;Adulte;22,3220095853146;https://images-na.ssl-images-amazon.com/images/I/71xCxOG9G1L.jpg;
978-2-07-061225-3;Griffes de glace;;Gilman;David;;;Gallimard jeunesse;DL 2009;1 vol. (461 p.);22 cm;Jeunesse;15,5319354486283;https://www.gallimard-jeunesse.fr/assets/media/cache/cover_medium/gallimard_img/image/A61228.jpg;
978-2-08-128917-8;Un amour impossible;;Angot;Christine;;;Flammarion;DL 2015;1 vol. (216 p.);21 cm;Adulte;28,7477730345081;https://images2.medimops.eu/product/418f84/M02081289172-large.jpg;
978-2-08-134387-0;exercice de la médecine (L');roman;Seksik;Laurent;;;Flammarion;DL 2015;1 vol. (339 p.);21 cm;Adulte;33,7695756809464;http://www.lalibrairieducours.fr/wp-content/uploads/2011/12/lexercice-de-la-m%C3%A9decine.jpg;
